# ========
# captured on: Sat Nov 14 22:28:12 2015
# hostname : LeoMa-ThinkPad-T440
# os release : 3.13.0-57-generic
# perf version : 3.13.11-ckt21
# arch : x86_64
# nrcpus online : 4
# nrcpus avail : 4
# cpudesc : Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz
# cpuid : GenuineIntel,6,69,1
# total memory : 3748808 kB
# cmdline : /usr/lib/linux-tools-3.13.0-57/perf record ./show-last-commit.sh 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, attr_mmap2 = 0, attr_mmap  = 1, attr_mmap_data = 0
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# pmu mappings: cpu = 4, software = 1, tracepoint = 2, breakpoint = 5
# ========
#
# Samples: 43K of event 'cycles'
# Event count (approx.): 28120863440
#
# Overhead  Command       Shared Object                                               Symbol
# ........  .......  ..................  ...................................................
#
     0.01%      log  libgit2.so.0.23.0   [.] git_commit_parent                              
     0.01%      log  libgit2.so.0.23.0   [.] git_iterator_advance                           
     0.01%      log  libgit2.so.0.23.0   [.] git_diff_free                                  
     0.01%      log  libgit2.so.0.23.0   [.] git_atomic_dec                                 
     0.01%      log  log                 [.] check_lg2                                      
     0.01%      log  libgit2.so.0.23.0   [.] git_oid_fromstr                                
     0.01%      log  libgit2.so.0.23.0   [.] git__malloc                                    
     0.01%      log  libgit2.so.0.23.0   [.] git__realloc                                   
     0.01%      log  log                 [.] git_show_last_commit                           
     0.01%      log  libgit2.so.0.23.0   [.] git_odb_read                                   
     0.01%      log  libcrypto.so.1.0.0  [.] SHA1_Final                                     
     0.01%      log  libgit2.so.0.23.0   [.] backend_readonly_free                          
     0.01%      log  libgit2.so.0.23.0   [.] git_hash_buf                                   
     0.01%      log  libgit2.so.0.23.0   [.] git__substrdup                                 
     0.01%      log  libgit2.so.0.23.0   [.] giterr__check_version                          
     0.01%      log  libc-2.19.so        [.] __strcasecmp_avx                               
     0.01%      log  libgit2.so.0.23.0   [.] giterr__check_version                          
     0.01%      log  libgit2.so.0.23.0   [.] iterator_current                               
     0.01%      log  libgit2.so.0.23.0   [.] git_repository_config__weakptr                 
     0.01%      log  libgit2.so.0.23.0   [.] git_vector_insert_sorted                       
     0.01%      log  libgit2.so.0.23.0   [.] git_pool__system_page_size                     
     0.01%      log  libgit2.so.0.23.0   [.] p_read                                         
     0.01%      log  libgit2.so.0.23.0   [.] git(float, long double,...)(...)               
     0.01%      log  libgit2.so.0.23.0   [.] git_cache_get_raw                              
     0.01%      log  libgit2.so.0.23.0   [.] git_packfile_unpack_header                     
     0.01%      log  libgit2.so.0.23.0   [.] git__strndup                                   
     0.01%      log  libgit2.so.0.23.0   [.] git__is_ssizet                                 
     0.01%      log  libgit2.so.0.23.0   [.] diff_strdup_prefix                             
     0.01%      log  libgit2.so.0.23.0   [.] git_object_owner                               
     0.01%      log  libgit2.so.0.23.0   [.] cache_add                                      
     0.01%      log  libgit2.so.0.23.0   [.] git_cache_store_parsed                         
     0.01%      log  libgit2.so.0.23.0   [.] process_commit                                 
     0.01%      log  libgit2.so.0.23.0   [.] strlen@plt                                     
     0.01%      log  libgit2.so.0.23.0   [.] tree_iterator__current                         
     0.01%      log  libgit2.so.0.23.0   [.] git__iswildcard                                
     0.01%      log  libcrypto.so.1.0.0  [.] SHA1_Init                                      
     0.01%      log  libgit2.so.0.23.0   [.] git_diff_num_deltas                            
     0.01%      log  libgit2.so.0.23.0   [.] odb_cache                                      
     0.01%      log  libgit2.so.0.23.0   [.] git__add_sizet_overflow                        
     0.01%      log  libgit2.so.0.23.0   [.] git__add_sizet_overflow                        
     0.01%      log  libgit2.so.0.23.0   [.] git_buf_grow@plt                               
     0.01%      log  libgit2.so.0.23.0   [.] git_cache_store_raw                            
     0.01%      log  libgit2.so.0.23.0   [.] kh_resize_oid                                  
     0.01%      log  libgit2.so.0.23.0   [.] is_crud                                        
     0.01%      log  libgit2.so.0.23.0   [.] git_array_grow                                 
     0.00%      log  libgit2.so.0.23.0   [.] clear_cache                                    
     0.00%      log  libgit2.so.0.23.0   [.] git_commit_lookup                              
     0.00%      log  libgit2.so.0.23.0   [.] git_buf_joinpath                               
     0.00%      log  libgit2.so.0.23.0   [.] git_atomic_inc                                 
     0.00%      log  libgit2.so.0.23.0   [.] git_oid_cmp@plt                                
     0.00%      log  libgit2.so.0.23.0   [.] git__calloc                                    
     0.00%      log  libgit2.so.0.23.0   [.] git_pathspec__match_at                         
     0.00%      log  libc-2.19.so        [.] htonl                                          
     0.00%      log  libgit2.so.0.23.0   [.] git_config_add_backend                         
     0.00%      log  libgit2.so.0.23.0   [.] git__add_sizet_overflow                        
     0.00%      log  libgit2.so.0.23.0   [.] git(float, long double,...)(...)               
     0.00%      log  libgit2.so.0.23.0   [.] git__add_sizet_overflow                        
     0.00%      log  libgit2.so.0.23.0   [.] tree_iterator(float, long double,...)(...)     
     0.00%      log  libgit2.so.0.23.0   [.] git_odb_object(float, long double,...)(...)    
     0.00%      log  libgit2.so.0.23.0   [.] revwalk_next_timesort                          
     0.00%      log  libgit2.so.0.23.0   [.] git_pool_strndup                               
     0.00%      log  libgit2.so.0.23.0   [.] extract_trimmed                                
     0.00%      log  libgit2.so.0.23.0   [.] git_index_entry_is_conflict                    
     0.00%      log  libgit2.so.0.23.0   [.] git__strdup                                    
     0.00%      log  libgit2.so.0.23.0   [.] git_cached_obj_incref                          
     0.00%      log  libgit2.so.0.23.0   [.] git_atomic_inc                                 
     0.00%      log  libgit2.so.0.23.0   [.] diff_entry_cmp                                 
     0.00%      log  libgit2.so.0.23.0   [.] use_git_free                                   
     0.00%      log  libgit2.so.0.23.0   [.] release_map                                    
     0.00%      log  libgit2.so.0.23.0   [.] git__malloc                                    
     0.00%      log  libgit2.so.0.23.0   [.] git_iterator_free                              
     0.00%      log  libgit2.so.0.23.0   [.] git_cached_obj_incref                          
     0.00%      log  libc-2.19.so        [.] __strchr_sse2                                  
     0.00%      log  libgit2.so.0.23.0   [.] diff_pathspec_match                            
     0.00%      log  libgit2.so.0.23.0   [.] git__tsort                                     
     0.00%      log  libgit2.so.0.23.0   [.] memchr@plt                                     
     0.00%      log  libgit2.so.0.23.0   [.] parse_optimized_patterns                       
     0.00%      log  libgit2.so.0.23.0   [.] iterator__clear_entry                          
     0.00%      log  libgit2.so.0.23.0   [.] git(float, long double,...)(...)               
     0.00%      log  libgit2.so.0.23.0   [.] refcounted_strmap_free                         
     0.00%      log  libgit2.so.0.23.0   [.] git_vector_set_cmp                             
     0.00%      log  libgit2.so.0.23.0   [.] git_commit_owner                               
     0.00%      log  libgit2.so.0.23.0   [.] git_vector_free_deep                           
     0.00%      log  libc-2.19.so        [.] pthread_mutex_unlock                           
     0.00%      log  libgit2.so.0.23.0   [.] git_tree_owner                                 
     0.00%      log  libgit2.so.0.23.0   [.] git_config_entry_free                          
     0.00%      log  libgit2.so.0.23.0   [.] git(float, long double,...)(...)               
     0.00%      log  libgit2.so.0.23.0   [.] file_internal_free                             
     0.00%      log  libgit2.so.0.23.0   [.] git_oid_equal@plt                              
     0.00%      log  libgit2.so.0.23.0   [.] process_commit_parents                         
     0.00%      log  libc-2.19.so        [.] __strdup                                       
     0.00%      log  libgit2.so.0.23.0   [.] git__is_ssizet                                 
     0.00%      log  libgit2.so.0.23.0   [.] git_buf_putc                                   
     0.00%      log  libgit2.so.0.23.0   [.] git_pathspec_is_empty                          
     0.00%      log  libgit2.so.0.23.0   [.] git_pathspec__vinit                            
     0.00%      log  libgit2.so.0.23.0   [.] git__malloc                                    
     0.00%      log  libgit2.so.0.23.0   [.] pack_entry_find                                
     0.00%      log  libgit2.so.0.23.0   [.] diff_set_ignore_case                           
     0.00%      log  libgit2.so.0.23.0   [.] git_vector_pop                                 
     0.00%      log  libgit2.so.0.23.0   [.] git__calloc                                    
     0.00%      log  libgit2.so.0.23.0   [.] iterator__update_ignore_case                   
     0.00%      log  libgit2.so.0.23.0   [.] malloc@plt                                     
     0.00%      log  libgit2.so.0.23.0   [.] git__iswildcard                                
     0.00%      log  libgit2.so.0.23.0   [.] git_hash_update                                
     0.00%      log  libgit2.so.0.23.0   [.] git_hash_init                                  
     0.00%      log  libgit2.so.0.23.0   [.] read@plt                                       
     0.00%      log  libgit2.so.0.23.0   [.] alloc_parents                                  
     0.00%      log  libgit2.so.0.23.0   [.] git_pathspec__match                            
     0.00%      log  libgit2.so.0.23.0   [.] git_commit_free                                
     0.00%      log  libgit2.so.0.23.0   [.] git__add_sizet_overflow                        
